Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Energy Solar, Inc.",,Terminated,3/23/2017,5/14/2021,100 to 499,2,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Energy Solutions,,Open,6/15/2016,,5 to 9,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Energy Strategies, Inc.",,Open,7/23/2009,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Energy Systems Inc,,Open,3/24/2023,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Energy Systems Inc,Smart Energy Water,Open,4/28/2015,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smart Energy Today, Inc.",,Open,7/9/2019,,20 to 99,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartEnergy Holdings,Smart Energy,Open,12/12/2016,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartestEnergy US LLC,,Open,1/29/2020,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartWatt Energy INC.,,Terminated,4/14/2014,5/7/2021,100 to 499,12,CA, CO, IL, NY, PA, TN, TX, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMF ENERGY,,Terminated,7/15/2008,8/6/2015,100 to 499,17,CA, FL, GA, LA, NC, TN, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMG/CONSOL Energy Center,,Terminated,2/24/2012,10/28/2020,500 to 999,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMG/Laredo Energy Arena,,Terminated,1/2/2013,4/30/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smooth Energy,,Open,8/22/2012,,5 to 9,2,GA, IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SMS Energy Group, Inc",Substation Maintenance Services,Open,9/13/2013,,20 to 99,2,GA, NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapping Shoals Energy Management Co,Snapping Shoals Energy Management Co,Open,2/29/2012,,100 to 499,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY RANGE ENERGY SERVICES LLC,,Open,1/12/2017,,10 to 19,1,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOENERGY INTERNATIONAL INC,,Open,6/25/2014,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sofos Harbert Renewable Energy, LLC.",,Open,3/26/2020,,5 to 9,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SoL Energy, LLC",,Open,1/6/2015,,5 to 9,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaflect Energy LLC,,Open,1/29/2020,,10 to 19,1,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaire Energy Systems,Solaire Energy Systems,Open,7/26/2017,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolAmerica Energy Holdings LLC,SolAmerica Energy Holdings LLC,Open,1/19/2021,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SolAmerica Energy Holdings, LLC",SolAmerica Energy,Open,1/31/2017,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar & Wood Energy DBA Aire Serv of SW Mo & NW Ark,,Open,6/30/2009,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Energy Industries Association,SEIA,Open,8/1/2013,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy International, Inc.","Solar Energy International, Inc.",Open,6/1/2011,,20 to 99,2,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Resources, LLC",,Terminated,4/6/2016,8/27/2021,500 to 999,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Resources, LLC",Solar Energy Company,Terminated,3/6/2018,2/11/2022,500 to 999,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Services, Inc.",6103471,Open,1/11/2017,,10 to 19,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Services, LLC","Solar Energy Services, LLC",Open,7/11/2022,,5 to 9,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Energy Systems Holdings Inc,,Open,9/1/2021,,100 to 499,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Systems, LLC",,Open,10/20/2015,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy Systems, LLC",,Open,1/9/2020,,20 to 99,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Energy World, LLC",,Open,1/24/2017,,100 to 499,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar Liberty Energy Systems, Inc.",,Open,8/3/2011,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Plus Energy Pros Inc.,,Terminated,1/6/2012,12/3/2015,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Works Energy Utah LLC,Solar Works Energy LLC,Open,1/12/2022,,10 to 19,1,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solarc Architecture and Engineering, Inc.",Solarc Engineering and Energy+Architectural Consulting,Open,10/6/2014,,20 to 99,4,OR, UT, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solare Energy,Solare Energy,Open,4/13/2018,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SolarFlair Energy, Inc.",N/A,Terminated,3/11/2016,10/18/2017,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solaris Energy Marketing Group, LLC","Solaris Energy Marketing Group, LLC",Open,9/6/2022,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarMax Renewable Energy Provider Inc,,Open,6/9/2015,,100 to 499,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLARMER ENERGY INC,,Open,9/5/2008,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solaro Energy, Inc.",N/A,Open,6/28/2022,,5 to 9,2,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaya Energy LLC,,Open,7/8/2009,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SolBright Renewable Energy, LLC",,Open,8/17/2009,,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea Energy LLC,,Open,4/16/2021,,20 to 99,3,KS, OH, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solect Energy Development LLC,,Open,12/10/2018,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solena Group, Inc.",SG H2 Global Energy,Open,6/14/2022,,5 to 9,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solential Energy Solutions, LLC",Solential Energy,Open,3/2/2023,,10 to 19,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solera Energy LLC,Solera Energy,Open,5/19/2022,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolidEnergy Systems,,Open,1/26/2022,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolidEnergy Systems Corp.,SolidEnergy,Open,9/5/2015,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SolidEnergy Systems, Corp",SolidEnergy Systems,Open,11/22/2017,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Global Energy,,Open,6/4/2019,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOLV Energy, LLC",,Open,9/27/2021,,500 to 999,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONOCHARGE ENERGY INC.,,Open,10/6/2022,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOS Energy Services LLC,,Open,5/5/2015,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy Services Proppants LP,,Open,6/22/2022,,100 to 499,9,CO, ND, TX, UT, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South central Partnership for Energy Efficiency as a Resource,,Open,7/13/2021,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southcross Energy,,Terminated,12/27/2011,4/23/2021,100 to 499,9,AL, MS, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southcross Energy Partners GP, LLC",,Open,7/27/2020,,100 to 499,12,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southeast Energy and Lighting, LLC",,Open,1/18/2021,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Energy Assistance,,Open,2/20/2008,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Energy Efficiency Alliance,,Open,3/3/2014,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Energy Efficiency Alliance,,Terminated,10/15/2013,3/29/2014,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Energy Efficiency Alliance,,Open,7/19/2013,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southeast Energy Efficiency Alliance, Inc.",,Open,2/25/2011,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Energy Housing Services,GREEN,Open,3/23/2015,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Energy Corporation,,Open,3/30/2012,,10 to 19,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Alliance for Clean Energy,,Open,2/8/2019,,20 to 99,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Alliance for Clean Energy,,Open,9/23/2008,,20 to 99,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Energy Homes,Inc.",,Terminated,12/15/2011,10/28/2020,"1,000 to 2,499",12,AL, NC, TN, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Energy LLC,,Open,4/29/2018,,5 to 9,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Energy Management,,Open,9/14/2009,,20 to 99,3,NC, SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Energy Management,,Open,12/16/2022,,100 to 499,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Energy Management, Inc.",,Open,6/13/2012,,10 to 19,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN ENERGY SYSTEMS,DBE MANAGEMENT INC.,Terminated,12/14/2020,2/19/2022,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Mechanical, LLC",Energy-One,Open,4/13/2023,,20 to 99,1,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN PLAINS ENERGY SERVICES LLC,SOUTHERN PLAINS ENERGY SERVICES LLC,Open,9/27/2018,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Premier Home Inspections, Inc",Home Energy Shield,Open,2/17/2016,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN RIVERS ENERGY,,Open,6/29/2009,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern States Energy Board,,Open,2/5/2014,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern View Energy,Southern View Energy,Open,3/28/2016,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southface Energy Institute,,Open,1/31/2008,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southface Energy Institute Inc,,Open,3/4/2016,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southface Energy LLC.,Southface Solar and Electric,Open,5/16/2018,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOUTHLAND ENERGY SERVICES, LLC",,Terminated,7/20/2009,4/7/2021,100 to 499,3,LA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SouthStar Energy Services, LLC",,Open,12/12/2008,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHWEST ELECTRONIC ENERGY CORP,,Open,2/24/2012,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Energy Efficiency Project,,Open,1/20/2017,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Energy LLC,,Open,4/30/2008,,100 to 499,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Energy LLC,,Terminated,10/9/2007,6/18/2011,100 to 499,4,AZ, ID, NM, NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Energy Solutions,,Terminated,1/4/2008,4/8/2022,100 to 499,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southwest Energy Systems, LLC",,Open,10/22/2007,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sovereign Hydroseal Energy Inc.,,Open,1/26/2021,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP Acquisition,Senergy Petroleum,Terminated,9/25/2019,2/25/2022,100 to 499,7,AZ, NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spark Energy Ventures, LLC",,Terminated,4/10/2008,4/21/2023,100 to 499,7,CO, IL, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spark Energy, LLC",,Terminated,2/16/2017,5/14/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparks Energy Inc.,,Open,6/19/2017,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartan Energy Services,,Open,12/10/2019,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spartan Energy Services,LLC",,Terminated,2/25/2014,5/7/2021,100 to 499,8,LA, OH, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spartan Steel Products, Inc.",Spartan Energy Tubulars,Open,8/27/2015,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg Electrical Energy Management,Butch Powell Heating & A/C,Open,7/11/2012,,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPATCO Energy Solutions,,Open,3/1/2023,,500 to 999,2,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPATCO ENERGY SOLUTIONS LLC,,Open,7/27/2020,,100 to 499,18,AL, FL, GA, LA, MS, NC, SC, TN, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spire Energy Solutions, LLC",SES Services,Terminated,9/20/2017,4/21/2023,100 to 499,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spotlight Energy, LLC",,Open,1/24/2017,,5 to 9,2,FL, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sprint Energy Services, LLC",,Terminated,5/26/2017,12/22/2022,100 to 499,4,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPS Energy Services, LLC",SPS Energy Services,Open,5/23/2022,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC Energy Inc.,,Terminated,6/12/2018,5/3/2020,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SRI Energy, Inc.",,Open,2/4/2015,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSK Energy LLC,,Open,6/24/2009,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staco Energy products Co.,,Terminated,6/11/2008,8/4/2011,20 to 99,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staco Energy Products Co.,,Open,7/18/2008,,20 to 99,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staff Management Office 7527 TBI Energy & Industrial - Tempe, AZ",,Terminated,5/14/2015,10/19/2019,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand Energy Corporation,Same,Open,12/28/2010,,20 to 99,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard E&S LLC,Standard Energy Services,Open,4/18/2019,,100 to 499,16,NM, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Energy Solutions,Standard Energy Solutions,Open,3/27/2023,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Energy Solutions LLC,,Open,9/21/2018,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Renewable Energy,,Terminated,9/9/2009,4/7/2021,100 to 499,6,AZ, CO, FL, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staq Energy Inc.,,Open,2/27/2017,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star Energy Management, Inc.",,Open,10/18/2017,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Energy Partners LLC,,Terminated,5/14/2019,2/4/2023,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARPLUS ENERGY LLC,,Open,4/18/2023,,20 to 99,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Static Energy Incorporated,,Open,4/20/2018,,10 to 19,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steag Energy Services LLC,,Open,5/22/2013,,20 to 99,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steamroller Energy, LLC",,Open,1/8/2016,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Energy Services,"Sun Well Servivce, INC",Terminated,9/17/2015,5/12/2022,100 to 499,4,ND, NM, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Energy Services Ltd,,Open,6/14/2018,,5 to 9,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steel Energy Services, Ltd",,Terminated,5/31/2018,8/27/2021,100 to 499,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steel Energy Services, Ltd",,Terminated,5/31/2018,8/27/2021,100 to 499,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steel Energy Services, Ltd",,Open,5/31/2018,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL HAWK ENERGY SERVICES INC.,,Open,9/14/2021,,10 to 19,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellar building Technologies,Albireo Energy,Open,2/8/2023,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stellar Energy Americas, Inc.",,Open,6/11/2020,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stellar Energy Americas, Inc.",,Open,1/21/2016,,100 to 499,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Energy Services,,Open,6/14/2021,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEP Energy Services,,Open,6/14/2012,,100 to 499,3,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Energy Services,Step Energy Services,Open,1/29/2021,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stillwater Energy, LLC",Stillwater Energy,Open,6/18/2018,,5 to 9,1,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stirling Energy Systems, Inc.",,Open,5/21/2008,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Energy Corporation,,Terminated,8/16/2011,8/27/2021,100 to 499,3,LA, TX, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehenge Energy Resources II LP,,Open,6/27/2017,,10 to 19,2,CO, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Storagenergy Technologies, Inc.",,Open,1/3/2020,,5 to 9,1,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stored Energy Concepts, Inc.","Stored Energy Concepts, Inc.",Open,7/23/2019,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stored Energy Systems LLC,,Open,6/2/2011,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stored Energy, LLC",,Open,2/21/2014,,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
